session,condition,topic,assessment_language,topic_completeness,logic_composition,expressiveness,language_mastery,complexity,vocabulary_text_linking,language_constructs,assessment_quality
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,zoos should be built to protect rural animals,2,1,2,2,2,2,1,2,0
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,ChatGPT-3,Study at school or get a job?,3,5,5,6,6,4,5,5,3
uatb851hhhj4nslj3ocd8yo240wnqgu5,Student,Benefits of students doing extra jobs,2,4,4,4,5,4,4,5,0
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Gun control,4,5,5,5,6,5,6,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Advertisements affects on consumer goods,1,4,4,3,4,3,4,4,2
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-3,High sales reflect Power of Advertising and not the Real Need,4,5,5,5,6,5,4,5,2
xea685r9fwrkuaugtc3aucspv34av5el,ChatGPT-3,Gender Equality at university admission,5,4,4,3,6,5,6,5,3
ruffupr6v7c4hcyndfmfklht33nr6r1y,Student,Why should human beings travel to outer space?,5,3,4,4,6,5,5,5,4
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,Student,Alternative forms of transport to alleviate traffic congestion,4,5,6,5,5,6,5,4,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,Student,International sporting occasions help to ease international tensions,2,5,6,5,5,6,5,5,3
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-3,Paying more money is the only motivation to make employees work harder,3,2,4,3,4,3,4,3,0
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-4,Giving aid to poorer countries has more negative effects than positive effect,3,1,0,0,0,0,0,0,3
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-3,Benefits of students' unpaid work,1,5,5,4,6,4,4,5,1
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-3,Should high school make music lessons compulsory,3,6,6,5,6,5,5,4,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Benefits of students' unpaid work,3,5,5,5,6,5,5,5,3
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Paying more money is the only motivation to make employees work harder,3,2,4,2,4,3,3,4,2
ksredoneqru0xqxf7nq2hydb58zr0nvn,ChatGPT-3,Do married women usually work? Why and why not?,3,4,4,3,4,3,4,3,2
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,Everyone Should Go Camping,4,2,4,4,5,4,5,5,2
0j5ac1w3jqs3n4d88fxghkr996puxnzf,ChatGPT-3,International sporting occasions help to ease international tensions,2,5,5,4,6,6,5,6,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,Student,Should high school make music lessons compulsory,4,4,4,3,4,4,4,4,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Should governments be responsible to help the unemployed and homeless,1,5,4,4,5,4,4,4,1
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-3,Government should make more effort to promote alternative sources of energy,1,4,4,3,4,2,4,4,0
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,distance-learning vs. attending school in person,1,5,5,5,6,5,6,5,1
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,Why should human beings travel to outer space?,4,0,4,3,5,5,5,4,2
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,Alternative forms of transport to alleviate traffic congestion,2,5,5,5,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,Student,Should governments be responsible to help the unemployed and homeless,3,3,3,3,4,4,4,4,1
zprb1muapmszr1s8btczu55w5y4wlxpe,ChatGPT-3,Government And Education,4,5,5,5,6,6,5,6,2
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,ChatGPT-3,"Sporting events easing international tensions, releasing patriotic feelings",1,5,5,5,6,6,6,6,0
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-3,humans should be able to use animals for their own benefit?,2,2,2,3,3,2,3,4,1
wx1ftoab40fv73rki7wvap3lfiryf598,Student,Benefits of students' unpaid work,5,4,4,4,3,2,3,3,4
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,Do modern communication technologies benefit all people,3,4,5,5,6,5,5,6,0
5kswaykptc8x72fo2st04imj7ubd88u5,Student,pros and cons of developments in agriculture,3,4,4,3,4,3,3,3,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,should teenagers learn all school subjects/focus on one subject,2,2,1,1,2,1,1,2,0
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,humans should be able to use animals for their own benefit?,5,5,5,5,6,5,5,5,2
gu2mqy8u00yps3emmb12kbau21v0mqy0,Student,pros and cons of developments in agriculture,5,4,4,4,4,3,4,3,3
0ynzvwvxifu3enwwv5vog2rc8via3sb4,ChatGPT-3,Benefits of students doing extra jobs,2,4,4,3,6,3,3,4,2
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-4,Benefits of students' unpaid work,5,5,5,5,6,5,5,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-4,Should high school make music lessons compulsory,5,5,5,5,5,5,5,5,3
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,Student,Government should make more effort to promote alternative sources of energy,1,3,2,3,4,3,4,4,2
g0rntgh8sk4ehswu3iphviv8byk5bgad,ChatGPT-4,Giving aid to poorer countries has more negative effects than positive effect,4,3,4,4,4,5,5,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,International sporting occasions help to ease international tensions,3,5,4,5,5,4,4,4,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-4,museums and art galleries will disappear soon?,0,4,4,4,4,4,4,4,0
yhhasgbui0x5dneax62an6p0y769nhca,Student,humans should be able to use animals for their own benefit?,0,3,3,3,3,3,3,3,0
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,Giving aid to poorer countries has more negative effects than positive effect,4,5,4,3,5,4,5,3,2
69tf3g7u3j0ifyx5861asy2361cjr8gf,Student,True Function of A University,2,2,2,2,4,2,2,3,1
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,Student,High sales reflect Power of Advertising and not the Real Need,2,4,4,4,4,3,4,4,3
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-4,distance-learning vs. attending school in person,5,6,5,6,6,6,6,6,4
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-4,creativity-should it be given freedom or restrictions,3,4,4,4,4,4,4,4,0
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,zoos should be built to protect rural animals,4,5,5,3,3,4,3,3,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-3,museums and art galleries will disappear soon?,4,2,3,4,6,6,6,6,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,zoos should be built to protect rural animals,4,5,5,5,6,5,5,5,3
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,distance-learning vs. attending school in person,2,4,4,4,4,3,4,4,2
koecf6ha05tlkkowh8eyc1hj11ptbfey,Student,Giving aid to poorer countries has more negative effects than positive effect,3,1,5,2,3,5,5,3,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,creativity-should it be given freedom or restrictions,2,5,5,6,5,5,6,5,3
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-4,True Function of A University,2,5,4,4,5,6,5,6,2
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,humans should be able to use animals for their own benefit?,2,4,4,3,4,4,4,4,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,advantages and disadvantages of the prevalent of English,2,4,4,4,4,4,4,4,0
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,Should high school make music lessons compulsory,2,5,5,3,4,3,4,4,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-3,competition or co-operation-which is better,4,2,2,2,3,3,3,3,3
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-4,Benefits of students doing extra jobs,2,6,5,6,6,5,6,5,2
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Should high school make music lessons compulsory,1,6,6,5,6,6,6,6,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,True Function of A University,1,4,4,4,5,4,4,4,1
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,ChatGPT-4,Influence of English - advantages outweigh the disadvantages,4,6,6,6,6,6,6,6,3
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,creativity-should it be given freedom or restrictions,3,5,5,5,6,5,5,5,3
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-4,"Sporting events easing international tensions, releasing patriotic feelings",4,5,5,5,6,6,5,6,3
mfctuxkizf1flo6083xotwsi3o40wdup,ChatGPT-3,Will newspapers become a thing of the past?,1,5,5,5,6,5,5,5,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-4,International sporting occasions help to ease international tensions,3,6,5,6,6,5,5,5,1
bfb3uj06g3twa0h1oerv63pcacnffkls,ChatGPT-3,Do modern communication technologies benefit all people,5,5,5,4,6,4,5,5,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-3,Financial Aid To Developing Countries,4,2,4,3,6,4,5,5,2
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Do modern communication technologies benefit all people,3,4,4,3,5,4,4,4,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,museums and art galleries will disappear soon?,4,6,6,6,6,6,6,6,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,Student,advantages and disadvantages of the prevalent of English,5,4,3,3,2,3,2,2,3
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,Benefits of students doing extra jobs,1,5,5,3,5,5,5,5,2
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-3,creativity-should it be given freedom or restrictions,3,2,2,3,6,3,4,4,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-4,humans should be able to use animals for their own benefit?,2,3,2,2,5,3,4,5,3
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Influence of English - advantages outweigh the disadvantages,5,4,5,4,6,6,6,6,4
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-4,Government should make more effort to promote alternative sources of energy,4,5,6,5,6,6,6,6,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-3,pros and cons of developments in agriculture,2,4,5,3,6,4,6,5,1
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-4,people will spend less time on cooking food,3,4,4,4,4,4,4,4,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,creativity-should it be given freedom or restrictions,1,5,4,4,4,4,5,5,1
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,should teenagers learn all school subjects/focus on one subject,4,5,5,4,5,4,5,5,3
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-4,Study at school or get a job?,1,4,4,4,5,4,4,5,0
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,advantages and disadvantages of the prevalent of English,2,4,5,4,4,5,4,4,0
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,should teenagers learn all school subjects/focus on one subject,2,4,4,3,5,3,3,3,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,Student,is a break good or bad after high school for students,2,3,2,2,2,2,2,3,1
b5641jbn13rh3k093necyaddm2cxwhoc,Student,museums and art galleries will disappear soon?,3,4,4,4,3,4,4,3,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-4,pros and cons of developments in agriculture,4,5,5,5,6,4,5,4,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-3,"computers..use,future prospects and over-dependence",5,4,4,4,6,6,6,6,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,competition or co-operation-which is better,1,4,4,3,4,3,3,3,1
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,is a break good or bad after high school for students,5,4,5,4,6,5,4,4,2
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-4,should teenagers learn all school subjects/focus on one subject,4,6,5,5,6,5,6,5,3
uatb851hhhj4nslj3ocd8yo240wnqgu5,Student,should teenagers learn all school subjects/focus on one subject,2,3,2,2,3,3,2,2,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,Student,Technology keeps traditional skills and ways of life alive or not?,3,5,6,5,6,5,6,6,1
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-4,capital punishment..necessary or not,1,5,6,6,6,6,6,6,1
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-4,Do modern communication technologies benefit all people,2,4,4,3,5,4,5,3,0
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,Student,should goverment control media crime,3,4,4,4,4,4,4,4,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,zoos should be built to protect rural animals,2,2,2,3,3,2,3,3,0
fxty78tj0luhghulpp686zi9swrx64xi,Student,distance-learning vs. attending school in person,2,4,4,3,5,4,4,5,2
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Influence of English - advantages outweigh the disadvantages,4,5,5,5,6,5,5,5,3
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-3,advantages and disadvantages of the prevalent of English,2,5,5,3,4,3,3,3,0
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-3,Traditional games or modern games in developing children's skills,2,5,6,5,5,6,5,5,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-4,distance-learning vs. attending school in person,3,3,3,3,3,3,3,3,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,Student,Growing traffic & pollution can be controlled by increasing petrol prices,3,4,4,4,5,4,4,5,1
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,humans should be able to use animals for their own benefit?,1,4,5,5,6,5,5,5,0
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,Creative Artists,3,1,1,3,6,5,4,4,0
2qpxkgwgxmlymjo937jx65f3dzqzisx6,Student,Paying more money is the only motivation to make employees work harder,2,4,4,3,5,4,4,4,2
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-3,is a break good or bad after high school for students,5,4,4,2,6,5,5,5,3
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,capital punishment..necessary or not,4,6,5,5,6,5,5,6,2
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,is a break good or bad after high school for students,3,5,5,4,5,3,4,4,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,Traditional games or modern games in developing children's skills,2,5,5,5,5,5,5,5,1
8y24o71xlukzq85g17n6ckhh09qf69pm,Student,capital punishment..necessary or not,3,3,3,3,4,3,3,3,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-3,"computers..use,future prospects and over-dependence",1,6,5,4,5,3,4,5,2
mfctuxkizf1flo6083xotwsi3o40wdup,Student,government shouldn't put money on building theaters or sports stadiums,1,6,6,6,6,6,6,6,1
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,Traditional games or modern games in developing children's skills,2,2,2,2,3,3,3,3,0
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-4,Should governments be responsible to help the unemployed and homeless,5,5,4,4,5,5,5,5,3
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-3,advantages and disadvantages of the prevalent of English,2,3,4,2,4,5,4,5,3
kxhdunah6ib3a2597w6f4ikbyukby99e,Student,International sporting occasions help to ease international tensions,3,4,3,4,2,1,1,0,4
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-3,Nowadays there are more opportunities for women than there were in the past,5,6,6,5,6,6,6,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Influence of English - advantages outweigh the disadvantages,1,4,4,4,3,3,3,4,0
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,competition or co-operation-which is better,3,4,4,4,5,5,5,5,2
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Creative Artists,5,6,6,6,6,6,6,6,4
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,ChatGPT-4,Should high school make music lessons compulsory,5,5,6,5,6,6,6,6,4
6z2czq2ox46ouw2hdygosn0svlyq2l9l,Student,Government should make more effort to promote alternative sources of energy,1,2,3,2,3,5,4,3,2
9e29g8fljpiaqqzio6jvwh2p62k960km,Student,zoos should be built to protect rural animals,2,3,4,4,5,4,4,4,3
ksredoneqru0xqxf7nq2hydb58zr0nvn,ChatGPT-4,competition or co-operation-which is better,3,1,2,3,2,2,2,3,2
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-4,people will spend less time on cooking food,5,5,5,4,5,4,5,5,3
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-4,government shouldn't put money on building theaters or sports stadiums,3,5,5,5,6,5,5,5,3
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-4,museums and art galleries will disappear soon?,2,3,4,3,5,5,4,5,2
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,people will spend less time on cooking food,4,4,5,5,5,6,5,5,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-3,people will spend less time on cooking food,3,3,4,3,5,4,4,5,3
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,people will spend less time on cooking food,2,5,5,4,5,3,4,4,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,should all the advertisements be banned?,3,3,3,3,3,3,3,3,0
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-4,pros and cons of developments in agriculture,3,4,5,5,6,5,5,5,2
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,Influence of English - advantages outweigh the disadvantages,4,5,5,5,6,5,5,5,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,Student,museums and art galleries will disappear soon?,4,4,4,4,3,3,4,3,4
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,competition or co-operation-which is better,4,3,2,2,2,2,3,2,3
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,should universities accept equal number of males/females or not,2,4,5,4,5,4,4,4,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,Technology keeps traditional skills and ways of life alive or not?,5,4,4,4,5,4,4,4,3
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,ChatGPT-4,Technology keeps traditional skills and ways of life alive or not?,3,5,5,5,6,5,6,6,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,Nowadays there are more opportunities for women than there were in the past,2,4,4,5,5,4,4,4,1
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-3,capital punishment..necessary or not,2,5,5,4,6,5,5,5,3
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,is a break good or bad after high school for students,1,5,4,4,2,3,3,3,0
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,Student,distance-learning vs. attending school in person,2,4,5,4,4,4,4,4,0
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-3,Traditional games or modern games in developing children's skills,2,5,5,4,6,5,5,5,2
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,Traditional games or modern games in developing children's skills,2,5,5,5,5,5,5,5,3
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-4,capital punishment..necessary or not,1,5,5,3,4,5,5,4,0
yhhasgbui0x5dneax62an6p0y769nhca,Student,should universities accept equal number of males/females or not,0,2,2,2,3,2,3,3,0
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,is a break good or bad after high school for students,5,5,5,6,6,4,5,5,4
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,should all the advertisements be banned?,2,6,5,5,6,5,5,6,3
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,zoos should be built to protect rural animals,5,5,5,5,6,4,4,4,2
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-4,Creative Artists,2,2,3,4,5,4,5,5,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Nowadays there are more opportunities for women than there were in the past,1,3,4,3,4,3,3,3,1
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,Student,True Function of A University,2,3,3,3,3,3,4,3,1
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-3,Creative Artists,2,4,5,3,6,4,5,4,1
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-3,Those who use drugs should be automatically sentenced to time in prison,2,5,5,5,5,4,5,5,0
7h4kehby4qflhzzjg13qr89hl89kr6s2,Student,advantages and disadvantages of the prevalent of English,1,3,4,3,5,4,4,4,0
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,Nowadays there are more opportunities for women than there were in the past,2,6,6,6,6,6,6,6,3
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,should goverment control media crime,2,5,5,5,6,6,5,5,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,government shouldn't put money on building theaters or sports stadiums,1,4,4,4,6,3,4,4,0
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,Student,Growing traffic & pollution can be controlled by increasing petrol prices,1,3,2,2,6,6,6,6,1
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-3,Growing traffic & pollution can be controlled by increasing petrol prices,2,2,5,4,4,4,4,4,0
27cy61crue3numwu12qb1yjahlgx4dfo,ChatGPT-4,Benefits of students doing extra jobs,1,3,3,3,3,3,3,3,0
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-4,Growing traffic & pollution can be controlled by increasing petrol prices,4,5,5,5,6,5,5,5,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,government shouldn't put money on building theaters or sports stadiums,1,4,4,3,5,4,3,3,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-3,Government should be responsible for education and health care or not?,4,5,5,5,5,5,5,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-3,should universities accept equal number of males/females or not,3,4,5,4,6,5,5,5,2
hwlcvhvkpcsq26vqw3h4agtiu450yue0,ChatGPT-4,High sales reflect Power of Advertising and not the Real Need,5,5,5,4,5,5,5,5,3
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,should goverment control media crime,4,5,5,5,6,5,5,5,3
bfb3uj06g3twa0h1oerv63pcacnffkls,Student,Technology keeps traditional skills and ways of life alive or not?,5,4,4,5,4,5,4,5,2
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,zoos should be banned,2,4,4,4,4,4,4,3,1
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-3,should goverment control media crime,1,4,4,3,5,3,4,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,should goverment control media crime,1,2,1,2,3,5,3,4,1
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,Student,people will spend less time on cooking food,4,3,3,4,3,4,4,3,2
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,ChatGPT-4,government shouldn't put money on building theaters or sports stadiums,4,5,5,6,6,6,6,6,3
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-3,Growing traffic & pollution can be controlled by increasing petrol prices,2,4,4,4,6,4,4,3,0
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Several languages are in danger of extinction,5,6,6,5,6,6,6,6,4
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-4,"computers..use,future prospects and over-dependence",5,5,5,5,6,6,6,6,4
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-4,should all the advertisements be banned?,2,3,3,3,3,3,2,2,0
b5641jbn13rh3k093necyaddm2cxwhoc,Student,Nowadays there are more opportunities for women than there were in the past,3,3,3,2,2,2,3,3,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Is image more powerful than the written word?,1,4,4,4,5,4,4,4,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-4,Artists' freedom to express ideas,4,5,5,5,5,5,5,5,2
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,Technology keeps traditional skills and ways of life alive or not?,4,5,5,5,5,5,5,5,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,Student,Government should be responsible for education and health care or not?,3,3,3,3,3,3,3,3,0
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,Student,Those who use drugs should be automatically sentenced to time in prison,4,4,4,4,5,5,4,2,2
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,economic development vs environment,2,5,5,6,5,6,5,5,3
0j5ac1w3jqs3n4d88fxghkr996puxnzf,Student,competition or co-operation-which is better,2,5,6,6,5,5,5,6,2
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,Several languages are in danger of extinction,3,5,5,5,6,4,6,5,2
zprb1muapmszr1s8btczu55w5y4wlxpe,Student,capital punishment..necessary or not,4,4,4,4,4,5,4,4,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-3,Government should be responsible for education and health care or not?,4,6,6,6,6,6,6,6,4
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,Those who use drugs should be automatically sentenced to time in prison,3,4,3,4,4,5,4,4,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Do arts and music improve the quality of life?,3,5,5,4,6,5,5,5,3
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,The nuclear power provide clean and cheap energy,4,5,5,5,5,5,5,5,2
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,should universities accept equal number of males/females or not,2,4,5,2,6,5,5,5,3
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Is image more powerful than the written word?,1,3,4,4,4,4,4,4,2
3abdtb3vc2w8k9u6k3bbajtd6szuifko,Student,should universities accept equal number of males/females or not,4,2,3,3,3,2,4,3,3
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,Creative Artists,1,5,5,6,6,5,5,5,1
2qpxkgwgxmlymjo937jx65f3dzqzisx6,ChatGPT-4,Those who use drugs should be automatically sentenced to time in prison,2,2,3,3,6,5,5,6,2
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,"Government should spend money on ARTs, not only on public services",5,4,5,4,5,5,5,5,2
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-4,Government should be responsible for education and health care or not?,2,5,5,4,5,5,4,5,2
ksredoneqru0xqxf7nq2hydb58zr0nvn,Student,Several languages are in danger of extinction,3,1,1,1,1,1,1,2,3
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,Student,should teenagers learn all school subjects/focus on one subject,3,5,5,6,6,5,6,6,2
fxty78tj0luhghulpp686zi9swrx64xi,Student,should all the advertisements be banned?,2,3,4,2,4,3,4,3,2
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-4,True Function of A University,5,5,6,4,6,5,6,5,2
